table_schema,table_name,table_type
public,smart_data_preference,BASE TABLE
public,space,BASE TABLE
public,space_attributes,BASE TABLE
public,space_attributes_aud,BASE TABLE
public,space_aud,BASE TABLE
public,space_components,BASE TABLE
public,space_components_aud,BASE TABLE
public,space_documents,BASE TABLE
public,space_documents_aud,BASE TABLE
public,space_impacts,BASE TABLE
public,space_impacts_aud,BASE TABLE
public,space_zones,BASE TABLE
public,space_zones_aud,BASE TABLE
public,spare,BASE TABLE
public,spare_attributes,BASE TABLE
public,spare_attributes_aud,BASE TABLE
public,spare_aud,BASE TABLE
public,spare_documents,BASE TABLE
public,spare_documents_aud,BASE TABLE
public,spare_impacts,BASE TABLE
public,spare_impacts_aud,BASE TABLE
public,spare_suppliers,BASE TABLE
public,spare_suppliers_aud,BASE TABLE
public,sub_project,BASE TABLE
public,sub_project_contacts,BASE TABLE
public,supplementary_agreement,BASE TABLE
public,supplementary_agreement_aud,BASE TABLE
public,system,BASE TABLE
public,system_acceptors,BASE TABLE
public,system_acceptors_aud,BASE TABLE
public,system_assignees,BASE TABLE
public,system_assignees_aud,BASE TABLE
public,system_attributes,BASE TABLE
public,system_attributes_aud,BASE TABLE
public,system_aud,BASE TABLE
public,system_documents,BASE TABLE
public,system_documents_aud,BASE TABLE
public,system_impacts,BASE TABLE
public,system_impacts_aud,BASE TABLE
public,system_reviewers,BASE TABLE
public,system_reviewers_aud,BASE TABLE
public,system_watchers,BASE TABLE
public,system_watchers_aud,BASE TABLE
public,table_definition,BASE TABLE
public,table_definition_value,BASE TABLE
public,task,BASE TABLE
public,task_acceptors,BASE TABLE
public,task_assignees,BASE TABLE
public,task_comment,BASE TABLE
public,task_creators,BASE TABLE
public,task_documents,BASE TABLE
public,task_listeners,BASE TABLE
public,task_relation,BASE TABLE
public,task_relation_comment,BASE TABLE
public,task_relation_delivery_information_progress,BASE TABLE
public,task_relation_template,BASE TABLE
public,task_reviewers,BASE TABLE
public,task_time_recording,BASE TABLE
public,technical_system,BASE TABLE
public,technical_system_asset_components,BASE TABLE
public,technical_system_asset_components_aud,BASE TABLE
public,technical_system_attributes,BASE TABLE
public,technical_system_attributes_aud,BASE TABLE
public,technical_system_aud,BASE TABLE
public,technical_system_documents,BASE TABLE
public,technical_system_documents_aud,BASE TABLE
public,technical_system_impacts,BASE TABLE
public,technical_system_impacts_aud,BASE TABLE
public,technical_system_systems,BASE TABLE
public,technical_system_systems_aud,BASE TABLE
public,theme,BASE TABLE
public,type,BASE TABLE
public,type_assembly,BASE TABLE
public,type_assembly_attributes,BASE TABLE
public,type_assembly_attributes_aud,BASE TABLE
public,type_assembly_aud,BASE TABLE
public,type_assembly_documents,BASE TABLE
public,type_assembly_documents_aud,BASE TABLE
public,type_assembly_impacts,BASE TABLE
public,type_assembly_impacts_aud,BASE TABLE
public,type_assembly_types,BASE TABLE
public,type_assembly_types_aud,BASE TABLE
public,type_attributes,BASE TABLE
public,type_attributes_aud,BASE TABLE
public,type_aud,BASE TABLE
