table_schema,table_name,index_name,index_def
public,asset_component_aud,idx_speed_asset_component_aud_created_by_id,CREATE INDEX idx_speed_asset_component_aud_created_by_id ON public.asset_component_aud USING btree (created_by_id)
public,asset_component_aud,idx_speed_asset_component_aud_owning_facility_id,CREATE INDEX idx_speed_asset_component_aud_owning_facility_id ON public.asset_component_aud USING btree (owning_facility_id)
public,asset_component_aud,idx_speed_asset_component_aud_system_id,CREATE INDEX idx_speed_asset_component_aud_system_id ON public.asset_component_aud USING btree (system_id)
public,asset_component_aud,idx_speed_asset_component_aud_type_id,CREATE INDEX idx_speed_asset_component_aud_type_id ON public.asset_component_aud USING btree (type_id)
public,asset_component_documents,asset_component_documents_pkey,"CREATE UNIQUE INDEX asset_component_documents_pkey ON public.asset_component_documents USING btree (asset_components_id, documents_id)"
public,asset_component_documents,idx_speed_asset_component_documents_asset_components_id,CREATE INDEX idx_speed_asset_component_documents_asset_components_id ON public.asset_component_documents USING btree (asset_components_id)
public,asset_component_documents,idx_speed_asset_component_documents_documents_id,CREATE INDEX idx_speed_asset_component_documents_documents_id ON public.asset_component_documents USING btree (documents_id)
public,asset_component_documents_aud,asset_component_documents_aud_pkey,"CREATE UNIQUE INDEX asset_component_documents_aud_pkey ON public.asset_component_documents_aud USING btree (asset_components_id, documents_id, rev)"
public,asset_component_documents_aud,idx_asset_component_documents_aud_revtype,CREATE INDEX idx_asset_component_documents_aud_revtype ON public.asset_component_documents_aud USING btree (revtype)
public,asset_component_impacts,asset_component_impacts_pkey,"CREATE UNIQUE INDEX asset_component_impacts_pkey ON public.asset_component_impacts USING btree (asset_components_id, impacts_id)"
public,asset_component_impacts_aud,asset_component_impacts_aud_pkey,"CREATE UNIQUE INDEX asset_component_impacts_aud_pkey ON public.asset_component_impacts_aud USING btree (asset_components_id, impacts_id, rev)"
public,asset_component_impacts_aud,idx_asset_component_impacts_aud_revtype,CREATE INDEX idx_asset_component_impacts_aud_revtype ON public.asset_component_impacts_aud USING btree (revtype)
public,attribute,idx_speed_attribute_created_by_id,CREATE INDEX idx_speed_attribute_created_by_id ON public.attribute USING btree (created_by_id)
public,attribute,idx_speed_attribute_model_id,CREATE INDEX idx_speed_attribute_model_id ON public.attribute USING btree (model_id)
public,attribute,idx_speed_attribute_name_ext_identifier_owning_facility_id,"CREATE INDEX idx_speed_attribute_name_ext_identifier_owning_facility_id ON public.attribute USING btree (name, ext_identifier, owning_facility_id)"
